"sex","work","region","year"
"M","Working part time","East North Central","2000's"
"M","Working part time","East North Central","2010's"
"M","Working part time","East North Central","2020's"
"M","Working part time","West North Central","1970's"
"M","Working part time","West North Central","1980's"
"M","Working part time","West North Central","1990's"
"M","Working part time","West North Central","2000's"
"M","Working part time","West North Central","2010's"
"M","Working part time","West North Central","2020's"
"M","Keeping house","New England","1970's"
"M","Keeping house","New England","1980's"
"M","Keeping house","New England","1990's"
"M","Keeping house","New England","2000's"
"M","Keeping house","New England","2010's"
"M","Keeping house","New England","2020's"
"M","Keeping house","Middle Atlantic","1970's"
"M","Keeping house","Middle Atlantic","1980's"
"M","Keeping house","Middle Atlantic","1990's"
"M","Keeping house","Middle Atlantic","2000's"
"M","Keeping house","Middle Atlantic","2010's"
"M","Keeping house","Middle Atlantic","2020's"
"M","Keeping house","East North Central","1970's"
"M","Keeping house","East North Central","1980's"
"M","Keeping house","East North Central","1990's"
"M","Keeping house","East North Central","2000's"
"M","Keeping house","East North Central","2010's"
"M","Keeping house","East North Central","2020's"
"M","Keeping house","West North Central","1970's"
"M","Keeping house","West North Central","1980's"
"M","Keeping house","West North Central","1990's"
"M","Keeping house","West North Central","2000's"
"M","Keeping house","West North Central","2010's"
"M","Keeping house","West North Central","2020's"
"M","In school","New England","1970's"
"M","In school","New England","1980's"
"M","In school","New England","1990's"
"M","In school","New England","2000's"
"M","In school","New England","2010's"
"M","In school","New England","2020's"
"M","In school","Middle Atlantic","1970's"
"M","In school","Middle Atlantic","1980's"
"M","In school","Middle Atlantic","1990's"
"M","In school","Middle Atlantic","2000's"
"M","In school","Middle Atlantic","2010's"
"M","In school","Middle Atlantic","2020's"
"M","In school","East North Central","1970's"
"M","In school","East North Central","1980's"
"M","In school","East North Central","1990's"
"M","In school","East North Central","2000's"
"M","In school","East North Central","2010's"
"M","In school","East North Central","2020's"
"M","In school","West North Central","1970's"
"M","In school","West North Central","1980's"
"M","In school","West North Central","1990's"
"M","In school","West North Central","2000's"
"M","In school","West North Central","2010's"
"M","In school","West North Central","2020's"
"M","Unemployed","New England","1970's"
"M","Unemployed","New England","1980's"
"M","Unemployed","New England","1990's"
"M","Unemployed","New England","2000's"
"M","Unemployed","New England","2010's"
"M","Unemployed","New England","2020's"
"M","Unemployed","Middle Atlantic","1970's"
"M","Unemployed","Middle Atlantic","1980's"
"M","Unemployed","Middle Atlantic","1990's"
"M","Unemployed","Middle Atlantic","2000's"
"M","Unemployed","Middle Atlantic","2010's"
"M","Unemployed","Middle Atlantic","2020's"
"M","Unemployed","East North Central","1970's"
"M","Unemployed","East North Central","1980's"
"M","Unemployed","East North Central","1990's"
"M","Unemployed","East North Central","2000's"
"M","Unemployed","East North Central","2010's"
"M","Unemployed","East North Central","2020's"
"M","Unemployed","West North Central","1970's"
"M","Unemployed","West North Central","1980's"
"M","Unemployed","West North Central","1990's"
"M","Unemployed","West North Central","2000's"
"M","Unemployed","West North Central","2010's"
"M","Unemployed","West North Central","2020's"
"M","With a job, but home","New England","1970's"
"M","With a job, but home","New England","1980's"
"M","With a job, but home","New England","1990's"
"M","With a job, but home","New England","2000's"
"M","With a job, but home","New England","2010's"
"M","With a job, but home","New England","2020's"
"M","With a job, but home","Middle Atlantic","1970's"
"M","With a job, but home","Middle Atlantic","1980's"
"M","With a job, but home","Middle Atlantic","1990's"
"M","With a job, but home","Middle Atlantic","2000's"
"M","With a job, but home","Middle Atlantic","2010's"
"M","With a job, but home","Middle Atlantic","2020's"
"M","With a job, but home","East North Central","1970's"
"M","With a job, but home","East North Central","1980's"
"M","With a job, but home","East North Central","1990's"
"M","With a job, but home","East North Central","2000's"
"M","With a job, but home","East North Central","2010's"
"M","With a job, but home","East North Central","2020's"
"M","With a job, but home","West North Central","1970's"
"M","With a job, but home","West North Central","1980's"
"M","With a job, but home","West North Central","1990's"
"M","With a job, but home","West North Central","2000's"
"M","With a job, but home","West North Central","2010's"
"M","With a job, but home","West North Central","2020's"
"M","Other","New England","1970's"
"M","Other","New England","1980's"
"M","Other","New England","1990's"
