"year","sex","age","region","happiness","educ","race","work","marital","age_ranges","year_ranges"
1994,"F",19,"East North Central","Pretty happy","12th grade","white","Working full time","Never married","18 to 19","1992 to 1993"
1994,"M",44,"East North Central","Pretty happy","12th grade","white","Working full time","Married","44 to 45","1992 to 1993"
1994,"F",36,"East North Central","Pretty happy","12th grade","Black","Working full time","Divorced","36 to 37","1992 to 1993"
1994,"F",83,"East North Central","Pretty happy","8th grade","white","Retired","Widowed","82 to 83","1992 to 1993"
1994,"F",38,"East North Central","Pretty happy","5 years of college","white","Unemployed, laid off, looking for work","Divorced","38 to 39","1992 to 1993"
1994,"M",74,"East North Central","Pretty happy","10th grade","white","Retired","Married","74 to 75","1992 to 1993"
1994,"F",85,"East North Central","Very happy","1 year of college","white","Retired","Widowed","84 to 85","1992 to 1993"
1994,"F",38,"East North Central","Pretty happy","2 years of college","white","Working full time","Divorced","38 to 39","1992 to 1993"
1994,"M",62,"East North Central","Very happy","8 or more years of college","white","Working full time","Divorced","62 to 63","1992 to 1993"
1994,"M",68,"East North Central","Not too happy","2 years of college","white","Retired","Widowed","68 to 69","1992 to 1993"
1994,"M",36,"East North Central","Very happy","2 years of college","white","Working full time","Never married","36 to 37","1992 to 1993"
1994,"M",56,"East North Central","Pretty happy","12th grade","white","Working full time","Married","56 to 57","1992 to 1993"
1994,"M",44,"East North Central","Pretty happy","8 or more years of college","white","Working full time","Married","44 to 45","1992 to 1993"
1994,"F",25,"East North Central","Very happy","4 years of college","white","Working full time","Married","24 to 25","1992 to 1993"
1994,"F",51,"East North Central","Pretty happy","10th grade","white","Keeping house","Married","50 to 51","1992 to 1993"
1994,"M",22,"East North Central","Not too happy","1 year of college","Black","Working full time","Never married","22 to 23","1992 to 1993"
1994,"M",41,"East North Central","Pretty happy","12th grade","white","Working full time","Divorced","40 to 41","1992 to 1993"
1994,"M",24,"East North Central","Pretty happy","12th grade","white","Working full time","Never married","24 to 25","1992 to 1993"
1994,"F",75,"East North Central","Not too happy","12th grade","white","Retired","Widowed","74 to 75","1992 to 1993"
1994,"F",49,"East North Central","Pretty happy","4 years of college","white","Working part time","Married","48 to 49","1992 to 1993"
1994,"M",56,"East North Central","Pretty happy","8th grade","Black","Working full time","Divorced","56 to 57","1992 to 1993"
1994,"M",68,"East North Central","Very happy","5th grade","Black","Retired","Married","68 to 69","1992 to 1993"
1994,"F",68,"East North Central","Not too happy","9th grade","Black","Keeping house","Sepreated","68 to 69","1992 to 1993"
1994,"F",39,"East North Central","Pretty happy","6 years of college","Black","Working full time","Married","38 to 39","1992 to 1993"
1994,"F",89,"East North Central","Not too happy","6th grade","Black","Retired","Widowed","88 to 89","1992 to 1993"
1994,"F",53,"East North Central","Pretty happy","11th grade","Black","Working full time","Married","52 to 53","1992 to 1993"
1994,"M",38,"East North Central","Very happy","9th grade","Black","Working part time","Married","38 to 39","1992 to 1993"
1994,"F",63,"East North Central","Very happy","12th grade","Black","Retired","Married","62 to 63","1992 to 1993"
1994,"F",59,"East North Central","Not too happy","12th grade","Black","Working full time","Widowed","58 to 59","1992 to 1993"
1994,"F",57,"East North Central","Pretty happy","7th grade","Black","Other","Married","56 to 57","1992 to 1993"
1994,"M",41,"East North Central","Not too happy","4 years of college","white","Working full time","Married","40 to 41","1992 to 1993"
1994,"F",39,"East North Central","Pretty happy","1 year of college","Black","Working full time","Married","38 to 39","1992 to 1993"
1994,"M",31,"East North Central","Pretty happy","12th grade","Other","Working full time","Married","30 to 31","1992 to 1993"
1994,"M",43,"East North Central","Very happy","4 years of college","white","Working full time","Married","42 to 43","1992 to 1993"
1994,"F",59,"East North Central","Very happy","4 years of college","white","Working full time","Widowed","58 to 59","1992 to 1993"
1994,"M",33,"East North Central","Pretty happy","1 year of college","white","Working full time","Married","32 to 33","1992 to 1993"
1994,"F",30,"East North Central","Pretty happy","12th grade","white","Working full time","Married","30 to 31","1992 to 1993"
1994,"F",38,"East North Central","Pretty happy","3 years of collage","white","Working full time","Married","38 to 39","1992 to 1993"
1994,"F",22,"East North Central","Pretty happy","12th grade","white","Working part time","Never married","22 to 23","1992 to 1993"
1994,"F",33,"East North Central","Not too happy","1 year of college","white","Working full time","Divorced","32 to 33","1992 to 1993"
1994,"M",72,"East North Central","Pretty happy","12th grade","white","Retired","Married","72 to 73","1992 to 1993"
1994,"F",31,"East North Central","Pretty happy","12th grade","white","Working full time","Divorced","30 to 31","1992 to 1993"
1994,"F",67,"East North Central","Pretty happy","11th grade","white","Retired","Widowed","66 to 67","1992 to 1993"
1994,"F",22,"East North Central","Pretty happy","3 years of collage","Black","Working part time","Never married","22 to 23","1992 to 1993"
1994,"F",36,"East North Central","Pretty happy","1 year of college","white","Working full time","Married","36 to 37","1992 to 1993"
1994,"M",71,"East North Central","Pretty happy","10th grade","white","Retired","Married","70 to 71","1992 to 1993"
1994,"F",18,"East North Central","Pretty happy","9th grade","white","Keeping house","Married","18 to 19","1992 to 1993"
1994,"F",26,"East North Central","Pretty happy","2 years of college","Black","Working full time","Never married","26 to 27","1992 to 1993"
1994,"F",45,"East North Central","Pretty happy","10th grade","Black","Working full time","Divorced","44 to 45","1992 to 1993"
1994,"M",26,"East North Central","Pretty happy","2 years of college","Black","Working full time","Married","26 to 27","1992 to 1993"
1994,"F",40,"East North Central","Not too happy","11th grade","Black","Working part time","Divorced","40 to 41","1992 to 1993"
1994,"F",20,"East North Central","Pretty happy","11th grade","Other","Working full time","Married","20 to 21","1992 to 1993"
1994,"M",20,"East North Central","Pretty happy","1 year of college","white","Working full time","Never married","20 to 21","1992 to 1993"
1994,"M",28,"East North Central","Pretty happy","2 years of college","Black","Working full time","Married","28 to 29","1992 to 1993"
1994,"F",57,"East North Central","Pretty happy","12th grade","white","Unemployed, laid off, looking for work","Divorced","56 to 57","1992 to 1993"
1994,"F",60,"East North Central","Not too happy","4 years of college","white","Keeping house","Never married","60 to 61","1992 to 1993"
1994,"F",53,"East North Central","Pretty happy","2 years of college","white","Working full time","Divorced","52 to 53","1992 to 1993"
1994,"M",38,"East North Central","Pretty happy","1 year of college","white","Retired","Never married","38 to 39","1992 to 1993"
1994,"F",50,"East North Central","Very happy","12th grade","white","Working full time","Divorced","50 to 51","1992 to 1993"
1994,"F",45,"East North Central","Very happy","6 years of college","white","Working full time","Married","44 to 45","1992 to 1993"
1994,"F",64,"East North Central","Very happy","1 year of college","white","Keeping house","Widowed","64 to 65","1992 to 1993"
1994,"F",20,"East North Central","Pretty happy","11th grade","white","Keeping house","Never married","20 to 21","1992 to 1993"
1994,"F",69,"East North Central","Pretty happy","12th grade","white","Keeping house","Married","68 to 69","1992 to 1993"
1994,"M",49,"East North Central","Pretty happy","10th grade","white","Retired","Married","48 to 49","1992 to 1993"
1994,"F",29,"East North Central","Pretty happy","9th grade","white","Keeping house","Married","28 to 29","1992 to 1993"
1994,"F",76,"East North Central","Pretty happy","9th grade","white","Keeping house","Widowed","76 to 77","1992 to 1993"
1994,"F",84,"East North Central","Pretty happy","11th grade","white","Keeping house","Widowed","84 to 85","1992 to 1993"
1994,"F",37,"East North Central","Very happy","12th grade","white","Working full time","Married","36 to 37","1992 to 1993"
1994,"M",72,"East North Central","Pretty happy","12th grade","white","Working part time","Married","72 to 73","1992 to 1993"
1994,"M",68,"East North Central","Very happy","5 years of college","white","Working full time","Married","68 to 69","1992 to 1993"
1994,"M",73,"East North Central","Pretty happy","11th grade","white","Retired","Married","72 to 73","1992 to 1993"
1994,"F",76,"East North Central","Very happy","10th grade","white","Keeping house","Married","76 to 77","1992 to 1993"
1994,"M",38,"East North Central","Pretty happy","6 years of college","white","Working full time","Married","38 to 39","1992 to 1993"
1994,"M",56,"East North Central","Very happy","11th grade","Black","Working full time","Married","56 to 57","1992 to 1993"
1994,"F",26,"East North Central","Pretty happy","4 years of college","Black","Keeping house","Married","26 to 27","1992 to 1993"
1994,"M",58,"East North Central","Very happy","12th grade","white","Working full time","Divorced","58 to 59","1992 to 1993"
1994,"F",20,"East North Central","Pretty happy","1 year of college","Black","Working part time","Never married","20 to 21","1992 to 1993"
1994,"F",60,"East North Central","Pretty happy","4 years of college","white","Working full time","Widowed","60 to 61","1992 to 1993"
1994,"F",52,"East North Central","Pretty happy","12th grade","white","Working full time","Married","52 to 53","1992 to 1993"
1994,"M",43,"East North Central","Pretty happy","2 years of college","white","Working full time","Married","42 to 43","1992 to 1993"
1994,"F",49,"East North Central","Pretty happy","2 years of college","white","Working full time","Married","48 to 49","1992 to 1993"
1994,"M",22,"East North Central","Pretty happy","12th grade","Black","Working full time","Never married","22 to 23","1992 to 1993"
1994,"F",33,"East North Central","Pretty happy","8th grade","white","Keeping house","Married","32 to 33","1992 to 1993"
1994,"F",34,"East North Central","Pretty happy","4 years of college","white","Working full time","Never married","34 to 35","1992 to 1993"
1994,"F",38,"East North Central","Pretty happy","12th grade","white","Working full time","Married","38 to 39","1992 to 1993"
1994,"M",67,"East North Central","Very happy","12th grade","white","Retired","Married","66 to 67","1992 to 1993"
1994,"F",58,"East North Central","Very happy","12th grade","white","Keeping house","Married","58 to 59","1992 to 1993"
1994,"F",49,"East North Central","Pretty happy","4 years of college","white","Working full time","Sepreated","48 to 49","1992 to 1993"
1994,"F",47,"East North Central","Pretty happy","9th grade","white","Working full time","Married","46 to 47","1992 to 1993"
1994,"M",32,"East North Central","Very happy","8 or more years of college","white","Working full time","Married","32 to 33","1992 to 1993"
1994,"F",62,"East North Central","Pretty happy","5 years of college","white","Working part time","Never married","62 to 63","1992 to 1993"
1994,"F",68,"East North Central","Pretty happy","12th grade","white","Retired","Widowed","68 to 69","1992 to 1993"
1994,"M",33,"East North Central","Not too happy","12th grade","Black","Working full time","Divorced","32 to 33","1992 to 1993"
1994,"M",25,"East North Central","Pretty happy","3 years of collage","white","Working part time","Never married","24 to 25","1992 to 1993"
1994,"M",52,"East North Central","Pretty happy","4 years of college","white","Working full time","Divorced","52 to 53","1992 to 1993"
1994,"M",24,"East North Central","Very happy","9th grade","white","Working full time","Married","24 to 25","1992 to 1993"
1994,"M",33,"East North Central","Pretty happy","4 years of college","white","Working full time","Never married","32 to 33","1992 to 1993"
1994,"F",35,"East North Central","Pretty happy","2 years of college","white","Working full time","Divorced","34 to 35","1992 to 1993"
1994,"F",36,"East North Central","Very happy","1 year of college","white","Working full time","Sepreated","36 to 37","1992 to 1993"
1994,"M",24,"East North Central","Pretty happy","12th grade","white","Working full time","Never married","24 to 25","1992 to 1993"
1994,"M",75,"East North Central","Pretty happy","11th grade","white","Retired","Widowed","74 to 75","1992 to 1993"
1994,"M",31,"East North Central","Very happy","12th grade","Black","Working full time","Never married","30 to 31","1992 to 1993"
1994,"F",56,"East North Central","Pretty happy","12th grade","white","Retired","Divorced","56 to 57","1992 to 1993"
1994,"F",19,"East North Central","Very happy","11th grade","white","Other","Never married","18 to 19","1992 to 1993"
1994,"M",28,"East North Central","Pretty happy","12th grade","white","Working full time","Married","28 to 29","1992 to 1993"
1994,"F",29,"East North Central","Pretty happy","9th grade","white","Keeping house","Married","28 to 29","1992 to 1993"
1994,"F",75,"East North Central","Not too happy","4th grade","Black","Retired","Divorced","74 to 75","1992 to 1993"
1994,"M",63,"East North Central","Pretty happy","2 years of college","white","Working full time","Married","62 to 63","1992 to 1993"
1994,"F",46,"East North Central","Pretty happy","4 years of college","white","Working full time","Divorced","46 to 47","1992 to 1993"
1994,"F",82,"East North Central","Pretty happy","12th grade","white","Retired","Married","82 to 83","1992 to 1993"
1994,"M",66,"East North Central","Pretty happy","2 years of college","white","Retired","Married","66 to 67","1992 to 1993"
1994,"M",70,"East North Central","Very happy","7 years of college","white","Retired","Married","70 to 71","1992 to 1993"
1994,"F",77,"East North Central","Very happy","10th grade","white","Working full time","Married","76 to 77","1992 to 1993"
1994,"F",77,"East North Central","Pretty happy","4 years of college","white","Retired","Married","76 to 77","1992 to 1993"
1994,"M",61,"East North Central","Pretty happy","4 years of college","white","Working full time","Married","60 to 61","1992 to 1993"
1994,"M",41,"East North Central","Pretty happy","8 or more years of college","white","Working full time","Married","40 to 41","1992 to 1993"
1994,"F",47,"East North Central","Pretty happy","8 or more years of college","white","Working full time","Never married","46 to 47","1992 to 1993"
1994,"F",89,"East North Central","Not too happy","4 years of college","white","Retired","Widowed","88 to 89","1992 to 1993"
1994,"F",61,"East North Central","Pretty happy","10th grade","white","Working full time","Widowed","60 to 61","1992 to 1993"
1994,"F",79,"East North Central","Very happy","12th grade","white","Working full time","Divorced","78 to 79","1992 to 1993"
1994,"F",52,"East North Central","Not too happy","4 years of college","white","In school","Divorced","52 to 53","1992 to 1993"
1994,"M",57,"East North Central","Very happy","3 years of collage","white","Working full time","Married","56 to 57","1992 to 1993"
1994,"M",30,"East North Central","Pretty happy","4 years of college","white","Working full time","Divorced","30 to 31","1992 to 1993"
1994,"M",52,"East North Central","Very happy","4 years of college","white","Working full time","Married","52 to 53","1992 to 1993"
1994,"F",34,"East North Central","Pretty happy","12th grade","white","Working full time","Married","34 to 35","1992 to 1993"
1994,"F",28,"East North Central","Pretty happy","1 year of college","white","Working full time","Married","28 to 29","1992 to 1993"
1994,"M",34,"East North Central","Pretty happy","3 years of collage","white","Working full time","Never married","34 to 35","1992 to 1993"
1994,"F",37,"East North Central","Not too happy","10th grade","white","Keeping house","Divorced","36 to 37","1992 to 1993"
1994,"M",69,"East North Central","Pretty happy","10th grade","white","Retired","Married","68 to 69","1992 to 1993"
1994,"F",48,"East North Central","Very happy","4 years of college","white","Keeping house","Married","48 to 49","1992 to 1993"
1994,"M",59,"East North Central","Pretty happy","11th grade","white","Working full time","Married","58 to 59","1992 to 1993"
1994,"M",76,"East North Central","Very happy","11th grade","white","Retired","Married","76 to 77","1992 to 1993"
1994,"F",34,"East North Central","Pretty happy","1 year of college","white","Working full time","Married","34 to 35","1992 to 1993"
1994,"F",34,"East North Central","Pretty happy","2 years of college","white","Keeping house","Married","34 to 35","1992 to 1993"
1994,"M",27,"East North Central","Pretty happy","4 years of college","white","Working full time","Married","26 to 27","1992 to 1993"
1994,"F",32,"East North Central","Very happy","2 years of college","white","Keeping house","Married","32 to 33","1992 to 1993"
1994,"M",41,"East North Central","Very happy","5 years of college","white","Working full time","Married","40 to 41","1992 to 1993"
1994,"M",28,"East North Central","Very happy","6 years of college","white","Working full time","Married","28 to 29","1992 to 1993"
1994,"M",38,"East North Central","Pretty happy","12th grade","white","Working full time","Married","38 to 39","1992 to 1993"
1994,"F",66,"East North Central","Very happy","2 years of college","white","Retired","Married","66 to 67","1992 to 1993"
1994,"M",41,"East North Central","Very happy","3 years of collage","white","Working full time","Married","40 to 41","1992 to 1993"
1994,"F",21,"East North Central","Very happy","3 years of collage","white","In school","Never married","20 to 21","1992 to 1993"
1994,"F",45,"East North Central","Very happy","2 years of college","white","Working full time","Married","44 to 45","1992 to 1993"
1994,"F",39,"East North Central","Very happy","8th grade","white","Working full time","Married","38 to 39","1992 to 1993"
1994,"M",36,"East North Central","Pretty happy","12th grade","white","Working full time","Never married","36 to 37","1992 to 1993"
1994,"F",39,"East North Central","Very happy","9th grade","white","Working part time","Married","38 to 39","1992 to 1993"
1994,"M",37,"East North Central","Pretty happy","12th grade","white","Working full time","Divorced","36 to 37","1992 to 1993"
1994,"M",31,"East North Central","Pretty happy","3 years of collage","white","Working full time","Never married","30 to 31","1992 to 1993"
1994,"F",63,"East North Central","Pretty happy","4 years of college","white","Working full time","Married","62 to 63","1992 to 1993"
1994,"M",32,"East North Central","Pretty happy","9th grade","Black","Working full time","Never married","32 to 33","1992 to 1993"
1994,"F",63,"East North Central","Very happy","12th grade","Black","Retired","Never married","62 to 63","1992 to 1993"
1994,"M",25,"East North Central","Pretty happy","12th grade","white","Working full time","Married","24 to 25","1992 to 1993"
1994,"M",35,"East North Central","Very happy","12th grade","Black","Other","Never married","34 to 35","1992 to 1993"
1994,"M",29,"East North Central","Pretty happy","3 years of collage","Black","Working full time","Sepreated","28 to 29","1992 to 1993"
1994,"F",66,"East North Central","Pretty happy","4th grade","white","Keeping house","Widowed","66 to 67","1992 to 1993"
1994,"M",19,"East North Central","Not too happy","11th grade","white","In school","Never married","18 to 19","1992 to 1993"
1994,"F",49,"East North Central","Pretty happy","1 year of college","white","Working full time","Married","48 to 49","1992 to 1993"
1994,"M",42,"East North Central","Not too happy","11th grade","Black","Working full time","Married","42 to 43","1992 to 1993"
1994,"M",19,"East North Central","Pretty happy","9th grade","white","Working full time","Never married","18 to 19","1992 to 1993"
1994,"F",24,"East North Central","Pretty happy","12th grade","Black","Working part time","Never married","24 to 25","1992 to 1993"
1994,"F",39,"East North Central","Pretty happy","12th grade","Black","Keeping house","Sepreated","38 to 39","1992 to 1993"
1994,"F",68,"East North Central","Pretty happy","8th grade","white","Retired","Sepreated","68 to 69","1992 to 1993"
1994,"F",24,"East North Central","Pretty happy","10th grade","Black","Keeping house","Never married","24 to 25","1992 to 1993"
1994,"M",58,"East North Central","Pretty happy","9th grade","white","Working full time","Married","58 to 59","1992 to 1993"
1994,"M",56,"East North Central","Pretty happy","8th grade","white","Unemployed, laid off, looking for work","Married","56 to 57","1992 to 1993"
1994,"F",59,"East North Central","Not too happy","10th grade","Black","Keeping house","Never married","58 to 59","1992 to 1993"
1994,"F",57,"East North Central","Not too happy","7th grade","white","Other","Divorced","56 to 57","1992 to 1993"
1994,"M",34,"East North Central","Pretty happy","3 years of collage","Black","Working full time","Married","34 to 35","1992 to 1993"
1994,"F",40,"East North Central","Pretty happy","12th grade","white","Working full time","Married","40 to 41","1992 to 1993"
1994,"F",58,"East North Central","Pretty happy","9th grade","white","Working full time","Divorced","58 to 59","1992 to 1993"
1994,"M",23,"East North Central","Very happy","2 years of college","white","Working full time","Never married","22 to 23","1992 to 1993"
1994,"F",55,"East North Central","Very happy","3 years of collage","white","Keeping house","Married","54 to 55","1992 to 1993"
1994,"M",43,"East North Central","Very happy","4 years of college","white","Working full time","Married","42 to 43","1992 to 1993"
1994,"F",55,"East North Central","Very happy","1 year of college","white","Working part time","Married","54 to 55","1992 to 1993"
1994,"M",77,"East North Central","Very happy","4 years of college","white","Retired","Married","76 to 77","1992 to 1993"
1994,"F",29,"East North Central","Pretty happy","2 years of college","white","Working full time","Married","28 to 29","1992 to 1993"
1994,"M",36,"East North Central","Pretty happy","1 year of college","white","Working full time","Married","36 to 37","1992 to 1993"
1994,"M",25,"East North Central","Pretty happy","11th grade","white","Working full time","Never married","24 to 25","1992 to 1993"
1994,"F",78,"East North Central","Pretty happy","12th grade","white","Retired","Widowed","78 to 79","1992 to 1993"
1994,"F",55,"East North Central","Very happy","8 or more years of college","white","Working full time","Married","54 to 55","1992 to 1993"
1994,"M",27,"East North Central","Pretty happy","12th grade","white","Working full time","Sepreated","26 to 27","1992 to 1993"
1994,"M",20,"East North Central","Pretty happy","12th grade","white","Unemployed, laid off, looking for work","Never married","20 to 21","1992 to 1993"
1994,"F",58,"East North Central","Very happy","12th grade","white","Working full time","Married","58 to 59","1992 to 1993"
1994,"M",40,"East North Central","Very happy","8 or more years of college","white","Working full time","Married","40 to 41","1992 to 1993"
1994,"F",82,"East North Central","Pretty happy","4 years of college","white","Retired","Widowed","82 to 83","1992 to 1993"
1994,"M",32,"East North Central","Very happy","12th grade","white","Working full time","Married","32 to 33","1992 to 1993"
1994,"F",46,"East North Central","Pretty happy","10th grade","white","With a job, but not at work because of temporary illness, vacation, strike","Divorced","46 to 47","1992 to 1993"
1994,"F",47,"East North Central","Pretty happy","12th grade","white","Working full time","Married","46 to 47","1992 to 1993"
1994,"F",71,"East North Central","Very happy","6th grade","white","Retired","Married","70 to 71","1992 to 1993"
1994,"M",36,"East North Central","Pretty happy","12th grade","white","Working full time","Married","36 to 37","1992 to 1993"
1994,"M",37,"East North Central","Very happy","12th grade","white","Working full time","Married","36 to 37","1992 to 1993"
1994,"F",79,"East North Central","Pretty happy","8th grade","white","Keeping house","Widowed","78 to 79","1992 to 1993"
1994,"F",43,"East North Central","Pretty happy","6th grade","white","Keeping house","Married","42 to 43","1992 to 1993"
1994,"F",22,"East North Central","Very happy","10th grade","white","Working full time","Never married","22 to 23","1992 to 1993"
1994,"F",30,"East North Central","Very happy","12th grade","Other","Keeping house","Divorced","30 to 31","1992 to 1993"
1994,"F",44,"East North Central","Not too happy","6 years of college","white","Unemployed, laid off, looking for work","Married","44 to 45","1992 to 1993"
1994,"M",45,"East North Central","Very happy","3 years of collage","white","Working full time","Married","44 to 45","1992 to 1993"
1994,"M",62,"East North Central","Pretty happy","10th grade","white","Other","Widowed","62 to 63","1992 to 1993"
1994,"M",28,"East North Central","Pretty happy","9th grade","white","Working full time","Married","28 to 29","1992 to 1993"
1994,"F",70,"East North Central","Very happy","12th grade","white","Keeping house","Married","70 to 71","1992 to 1993"
1994,"F",47,"East North Central","Pretty happy","10th grade","Other","Keeping house","Widowed","46 to 47","1992 to 1993"
1994,"M",41,"East North Central","Very happy","4 years of college","white","Working full time","Married","40 to 41","1992 to 1993"
1994,"M",54,"East North Central","Very happy","3 years of collage","white","Working full time","Divorced","54 to 55","1992 to 1993"
1994,"F",62,"East North Central","Pretty happy","12th grade","white","Retired","Divorced","62 to 63","1992 to 1993"
1994,"M",27,"East North Central","Not too happy","4 years of college","Other","Working full time","Married","26 to 27","1992 to 1993"
1994,"M",29,"East North Central","Very happy","12th grade","white","Working full time","Married","28 to 29","1992 to 1993"
1994,"F",35,"East North Central","Pretty happy","4 years of college","Black","Working full time","Never married","34 to 35","1992 to 1993"
1994,"M",19,"East North Central","Very happy","12th grade","Black","Working full time","Never married","18 to 19","1992 to 1993"
1994,"M",43,"East North Central","Very happy","9th grade","white","Working full time","Married","42 to 43","1992 to 1993"
1994,"F",76,"East North Central","Pretty happy","12th grade","white","Keeping house","Married","76 to 77","1992 to 1993"
1994,"M",76,"East North Central","Very happy","8th grade","white","Retired","Married","76 to 77","1992 to 1993"
1994,"M",66,"East North Central","Pretty happy","12th grade","white","Retired","Married","66 to 67","1992 to 1993"
1994,"F",53,"East North Central","Pretty happy","12th grade","white","Other","Married","52 to 53","1992 to 1993"
1994,"M",32,"East North Central","Very happy","12th grade","white","Working full time","Married","32 to 33","1992 to 1993"
1994,"M",19,"East North Central","Very happy","1 year of college","white","In school","Never married","18 to 19","1992 to 1993"
1994,"M",47,"East North Central","Pretty happy","4th grade","white","Working full time","Sepreated","46 to 47","1992 to 1993"
1994,"F",41,"East North Central","Very happy","4 years of college","white","Working full time","Married","40 to 41","1992 to 1993"
1994,"M",48,"East North Central","Pretty happy","8th grade","white","Working part time","Married","48 to 49","1992 to 1993"
1994,"F",59,"East North Central","Very happy","12th grade","white","Working full time","Married","58 to 59","1992 to 1993"
1994,"F",73,"East North Central","Very happy","12th grade","white","Working part time","Married","72 to 73","1992 to 1993"
1994,"M",69,"East North Central","Very happy","12th grade","white","Retired","Never married","68 to 69","1992 to 1993"
1994,"F",27,"East North Central","Not too happy","12th grade","white","Working full time","Divorced","26 to 27","1992 to 1993"
1994,"M",36,"East North Central","Pretty happy","10th grade","Black","Working part time","Never married","36 to 37","1992 to 1993"
1994,"F",53,"East North Central","Pretty happy","12th grade","white","Working part time","Married","52 to 53","1992 to 1993"
1994,"F",30,"East North Central","Pretty happy","8th grade","white","Working full time","Divorced","30 to 31","1992 to 1993"
1994,"M",48,"East North Central","Pretty happy","8th grade","white","Unemployed, laid off, looking for work","Divorced","48 to 49","1992 to 1993"
1994,"M",41,"East North Central","Not too happy","8th grade","white","Unemployed, laid off, looking for work","Divorced","40 to 41","1992 to 1993"
1994,"F",45,"East North Central","Very happy","8th grade","white","Keeping house","Divorced","44 to 45","1992 to 1993"
1994,"M",26,"East North Central","Very happy","12th grade","white","Working part time","Never married","26 to 27","1992 to 1993"
1994,"F",44,"East North Central","Not too happy","2 years of college","white","Working full time","Married","44 to 45","1992 to 1993"
1994,"F",23,"East North Central","Pretty happy","3 years of collage","white","Working part time","Never married","22 to 23","1992 to 1993"
1994,"F",31,"East North Central","Pretty happy","4 years of college","white","Working full time","Divorced","30 to 31","1992 to 1993"
1994,"F",47,"East North Central","Pretty happy","7 years of college","white","Working full time","Divorced","46 to 47","1992 to 1993"
1994,"F",28,"East North Central","Not too happy","2 years of college","white","Working full time","Divorced","28 to 29","1992 to 1993"
1994,"F",33,"East North Central","Pretty happy","4 years of college","white","Working full time","Married","32 to 33","1992 to 1993"
1994,"M",32,"East North Central","Very happy","12th grade","white","Working full time","Divorced","32 to 33","1992 to 1993"
1994,"M",38,"East North Central","Pretty happy","3 years of collage","white","In school","Married","38 to 39","1992 to 1993"
1994,"F",76,"East North Central","Very happy","10th grade","white","Retired","Widowed","76 to 77","1992 to 1993"
1994,"M",23,"East North Central","Pretty happy","12th grade","white","Working full time","Never married","22 to 23","1992 to 1993"
1994,"M",48,"East North Central","Not too happy","2 years of college","white","Retired","Widowed","48 to 49","1992 to 1993"
1994,"F",80,"East North Central","Very happy","8th grade","white","Retired","Widowed","80 to 81","1992 to 1993"
1994,"F",56,"East North Central","Pretty happy","12th grade","white","Retired","Sepreated","56 to 57","1992 to 1993"
1994,"F",63,"East North Central","Pretty happy","1 year of college","white","Keeping house","Married","62 to 63","1992 to 1993"
1994,"M",31,"East North Central","Pretty happy","5 years of college","white","Working full time","Married","30 to 31","1992 to 1993"
1994,"F",82,"East North Central","Pretty happy","12th grade","white","Retired","Married","82 to 83","1992 to 1993"
1994,"F",50,"East North Central","Very happy","12th grade","white","Working full time","Widowed","50 to 51","1992 to 1993"
1994,"F",58,"East North Central","Very happy","4 years of college","white","Working full time","Married","58 to 59","1992 to 1993"
1994,"F",37,"East North Central","Very happy","1 year of college","Other","Working full time","Married","36 to 37","1992 to 1993"
1994,"M",46,"East North Central","Pretty happy","5 years of college","white","Working full time","Divorced","46 to 47","1992 to 1993"
1994,"F",37,"East North Central","Pretty happy","4 years of college","Black","Working full time","Divorced","36 to 37","1992 to 1993"
1994,"F",36,"East North Central","Not too happy","4 years of college","white","Working full time","Divorced","36 to 37","1992 to 1993"
1994,"F",39,"East North Central","Pretty happy","1 year of college","white","Working full time","Married","38 to 39","1992 to 1993"
1994,"M",21,"East North Central","Pretty happy","3 years of collage","white","Working full time","Never married","20 to 21","1992 to 1993"
1994,"F",25,"East North Central","Very happy","4 years of college","white","Keeping house","Married","24 to 25","1992 to 1993"
1994,"M",41,"East North Central","Pretty happy","5 years of college","white","Working full time","Divorced","40 to 41","1992 to 1993"
1994,"F",42,"East North Central","Pretty happy","8 or more years of college","white","Working part time","Never married","42 to 43","1992 to 1993"
1994,"F",54,"East North Central","Very happy","12th grade","white","Working part time","Married","54 to 55","1992 to 1993"
1994,"M",38,"East North Central","Not too happy","12th grade","Other","Working full time","Divorced","38 to 39","1992 to 1993"
1994,"F",34,"East North Central","Not too happy","4 years of college","white","Working full time","Never married","34 to 35","1992 to 1993"
1994,"F",89,"East North Central","Very happy","2 years of college","white","Retired","Widowed","88 to 89","1992 to 1993"
1994,"M",52,"East North Central","Pretty happy","11th grade","Black","Working full time","Divorced","52 to 53","1992 to 1993"
1994,"F",34,"East North Central","Pretty happy","12th grade","Black","Working part time","Never married","34 to 35","1992 to 1993"
1994,"F",27,"East North Central","Not too happy","1 year of college","white","Keeping house","Married","26 to 27","1992 to 1993"
1994,"F",54,"East North Central","Very happy","8th grade","Black","Working part time","Sepreated","54 to 55","1992 to 1993"
1994,"F",29,"East North Central","Not too happy","12th grade","Black","Keeping house","Divorced","28 to 29","1992 to 1993"
1994,"F",66,"East North Central","Not too happy","2 years of college","Black","Retired","Widowed","66 to 67","1992 to 1993"
1994,"F",29,"East North Central","Not too happy","12th grade","Black","Keeping house","Never married","28 to 29","1992 to 1993"
