"year","sex","age","region","happiness","educ","race","work","marital","age_ranges","year_ranges"
1972,"F",59,"Middle Atlantic","Very happy","10th grade","white","Working full time","Married","58 to 59","1972 to 1973"
1972,"F",39,"Middle Atlantic","Pretty happy","11th grade","white","Keeping house","Married","38 to 39","1972 to 1973"
1972,"F",49,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Married","48 to 49","1972 to 1973"
1972,"F",33,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Married","32 to 33","1972 to 1973"
1972,"F",53,"Middle Atlantic","Pretty happy","11th grade","white","Working full time","Widowed","52 to 53","1972 to 1973"
1972,"F",30,"Middle Atlantic","Very happy","12th grade","white","Keeping house","Married","30 to 31","1972 to 1973"
1972,"M",25,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","24 to 25","1972 to 1973"
1972,"F",36,"Middle Atlantic","Pretty happy","9th grade","white","Working full time","Divorced","36 to 37","1972 to 1973"
1972,"M",30,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","30 to 31","1972 to 1973"
1972,"M",28,"Middle Atlantic","Pretty happy","9th grade","white","Working full time","Married","28 to 29","1972 to 1973"
1972,"M",52,"Middle Atlantic","Pretty happy","8th grade","white","Working full time","Married","52 to 53","1972 to 1973"
1972,"M",44,"Middle Atlantic","Very happy","10th grade","white","Working full time","Married","44 to 45","1972 to 1973"
1972,"M",50,"Middle Atlantic","Pretty happy","6 years of college","white","Working full time","Never married","50 to 51","1972 to 1973"
1972,"F",38,"Middle Atlantic","Very happy","6 years of college","white","Working full time","Sepreated","38 to 39","1972 to 1973"
1972,"M",26,"Middle Atlantic","Pretty happy","6 years of college","white","Working part time","Never married","26 to 27","1972 to 1973"
1972,"F",28,"Middle Atlantic","Very happy","12th grade","white","In school","Married","28 to 29","1972 to 1973"
1972,"F",81,"Middle Atlantic","Very happy","2 years of college","white","Keeping house","Married","80 to 81","1972 to 1973"
1972,"F",55,"Middle Atlantic","Very happy","12th grade","white","Working part time","Married","54 to 55","1972 to 1973"
1972,"M",76,"Middle Atlantic","Very happy","12th grade","white","Retired","Married","76 to 77","1972 to 1973"
1972,"M",29,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","28 to 29","1972 to 1973"
1972,"M",19,"Middle Atlantic","Very happy","10th grade","white","Working full time","Never married","18 to 19","1972 to 1973"
1972,"F",76,"Middle Atlantic","Pretty happy","10th grade","white","Retired","Never married","76 to 77","1972 to 1973"
1972,"M",61,"Middle Atlantic","Pretty happy","7 years of college","white","Working full time","Never married","60 to 61","1972 to 1973"
1972,"M",26,"Middle Atlantic","Pretty happy","4 years of college","white","Working full time","Married","26 to 27","1972 to 1973"
1972,"F",39,"Middle Atlantic","Pretty happy","2 years of college","white","Keeping house","Divorced","38 to 39","1972 to 1973"
1972,"M",19,"Middle Atlantic","Not too happy","9th grade","white","Working full time","Never married","18 to 19","1972 to 1973"
1972,"F",26,"Middle Atlantic","Very happy","4 years of college","white","Working full time","Married","26 to 27","1972 to 1973"
1972,"F",21,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Never married","20 to 21","1972 to 1973"
1972,"F",45,"East North Central","Very happy","10th grade","Black","Working full time","Married","44 to 45","1972 to 1973"
1972,"F",27,"East North Central","Pretty happy","12th grade","Black","Keeping house","Married","26 to 27","1972 to 1973"
1972,"M",76,"East North Central","Very happy","1st grade","Black","Retired","Widowed","76 to 77","1972 to 1973"
1972,"F",63,"East North Central","Pretty happy","5th grade","Black","Keeping house","Widowed","62 to 63","1972 to 1973"
1972,"M",52,"East North Central","Pretty happy","6th grade","Black","Working full time","Married","52 to 53","1972 to 1973"
1972,"M",65,"East North Central","Pretty happy","1st grade","Black","Retired","Married","64 to 65","1972 to 1973"
1972,"M",59,"East North Central","Not too happy","2nd grade","Black","Working full time","Married","58 to 59","1972 to 1973"
1972,"M",26,"Middle Atlantic","Pretty happy","2 years of college","white","Working full time","Never married","26 to 27","1972 to 1973"
1972,"F",41,"Middle Atlantic","Very happy","4 years of college","white","Working full time","Married","40 to 41","1972 to 1973"
1972,"M",56,"Middle Atlantic","Pretty happy","6 years of college","white","Working full time","Married","56 to 57","1972 to 1973"
1972,"M",62,"Middle Atlantic","Not too happy","3 years of collage","white","Working full time","Married","62 to 63","1972 to 1973"
1972,"M",29,"Middle Atlantic","Very happy","6 years of college","white","Working full time","Married","28 to 29","1972 to 1973"
1972,"F",25,"Middle Atlantic","Very happy","4 years of college","white","Working part time","Married","24 to 25","1972 to 1973"
1972,"F",41,"Middle Atlantic","Very happy","12th grade","white","Working part time","Married","40 to 41","1972 to 1973"
1972,"F",21,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Never married","20 to 21","1972 to 1973"
1972,"F",49,"East North Central","Pretty happy","12th grade","white","Working full time","Divorced","48 to 49","1972 to 1973"
1972,"M",38,"East North Central","Very happy","9th grade","white","Working full time","Married","38 to 39","1972 to 1973"
1972,"M",50,"East North Central","Very happy","12th grade","white","Working full time","Married","50 to 51","1972 to 1973"
1972,"M",43,"East North Central","Pretty happy","12th grade","white","Working full time","Married","42 to 43","1972 to 1973"
1972,"M",32,"East North Central","Pretty happy","1 year of college","white","Working full time","Married","32 to 33","1972 to 1973"
1972,"F",55,"East North Central","Pretty happy","12th grade","white","Working full time","Divorced","54 to 55","1972 to 1973"
1972,"F",27,"East North Central","Very happy","2 years of college","white","Working full time","Married","26 to 27","1972 to 1973"
1972,"M",56,"East North Central","Pretty happy","1 year of college","white","Working full time","Married","56 to 57","1972 to 1973"
1972,"F",48,"East North Central","Very happy","8th grade","white","Keeping house","Married","48 to 49","1972 to 1973"
1972,"M",56,"Middle Atlantic","Pretty happy","10th grade","white","Working full time","Married","56 to 57","1972 to 1973"
