"sex","happiness","region","year","count","perc"
"F","Pretty happy","Middle Atlantic","2000's",766,56.3235294117647
"F","Very happy","Middle Atlantic","2000's",434,31.9117647058824
"M","Not too happy","Middle Atlantic","2000's",149,13.2209405501331
"M","Pretty happy","Middle Atlantic","2000's",679,60.2484472049689
"M","Very happy","Middle Atlantic","2000's",299,26.530612244898
"F","Not too happy","Mountain","2000's",0,0
"F","Pretty happy","Mountain","2000's",0,0
"F","Very happy","Mountain","2000's",0,0
"M","Not too happy","Mountain","2000's",0,0
"M","Pretty happy","Mountain","2000's",0,0
"M","Very happy","Mountain","2000's",0,0
"F","Not too happy","New England","2000's",161,14.6897810218978
"F","Pretty happy","New England","2000's",610,55.6569343065693
"F","Very happy","New England","2000's",325,29.6532846715328
"M","Not too happy","New England","2000's",83,10.7932379713914
"M","Pretty happy","New England","2000's",448,58.2574772431729
"M","Very happy","New England","2000's",238,30.9492847854356
"F","Not too happy","Pacific","2000's",0,0
"F","Pretty happy","Pacific","2000's",0,0
"F","Very happy","Pacific","2000's",0,0
"M","Not too happy","Pacific","2000's",0,0
"M","Pretty happy","Pacific","2000's",0,0
"M","Very happy","Pacific","2000's",0,0
"F","Not too happy","South Atlantic","2000's",0,0
"F","Pretty happy","South Atlantic","2000's",0,0
"F","Very happy","South Atlantic","2000's",0,0
"M","Not too happy","South Atlantic","2000's",0,0
"M","Pretty happy","South Atlantic","2000's",0,0
"M","Very happy","South Atlantic","2000's",0,0
"F","Not too happy","West North Central","2000's",151,12.8510638297872
"F","Pretty happy","West North Central","2000's",674,57.3617021276596
"F","Very happy","West North Central","2000's",350,29.7872340425532
"M","Not too happy","West North Central","2000's",143,13.8565891472868
"M","Pretty happy","West North Central","2000's",581,56.2984496124031
"M","Very happy","West North Central","2000's",308,29.8449612403101
"F","Not too happy","West South Central","2000's",0,0
"F","Pretty happy","West South Central","2000's",0,0
"F","Very happy","West South Central","2000's",0,0
"M","Not too happy","West South Central","2000's",0,0
"M","Pretty happy","West South Central","2000's",0,0
"M","Very happy","West South Central","2000's",0,0
"F","Not too happy","East North Central","2010's",382,15.086887835703
"F","Pretty happy","East North Central","2010's",1398,55.2132701421801
"F","Very happy","East North Central","2010's",752,29.6998420221169
"M","Not too happy","East North Central","2010's",303,16.02326811211
"M","Pretty happy","East North Central","2010's",1015,53.6753040719196
"M","Very happy","East North Central","2010's",573,30.3014278159704
"F","Not too happy","East South Central","2010's",0,0
"F","Pretty happy","East South Central","2010's",0,0
"F","Very happy","East South Central","2010's",0,0
"M","Not too happy","East South Central","2010's",0,0
"M","Pretty happy","East South Central","2010's",0,0
"M","Very happy","East South Central","2010's",0,0
"F","Not too happy","Middle Atlantic","2010's",168,11.8476727785614
"F","Pretty happy","Middle Atlantic","2010's",847,59.7320169252468
"F","Very happy","Middle Atlantic","2010's",403,28.4203102961918
"M","Not too happy","Middle Atlantic","2010's",180,14.1176470588235
"M","Pretty happy","Middle Atlantic","2010's",745,58.4313725490196
"M","Very happy","Middle Atlantic","2010's",350,27.4509803921569
"F","Not too happy","Mountain","2010's",0,0
"F","Pretty happy","Mountain","2010's",0,0
"F","Very happy","Mountain","2010's",0,0
"M","Not too happy","Mountain","2010's",0,0
"M","Pretty happy","Mountain","2010's",0,0
"M","Very happy","Mountain","2010's",0,0
"F","Not too happy","New England","2010's",167,15.3633854645814
"F","Pretty happy","New England","2010's",602,55.3817847286109
"F","Very happy","New England","2010's",318,29.2548298068077
"M","Not too happy","New England","2010's",117,13.8625592417062
"M","Pretty happy","New England","2010's",519,61.4928909952607
"M","Very happy","New England","2010's",208,24.6445497630332
"F","Not too happy","Pacific","2010's",0,0
"F","Pretty happy","Pacific","2010's",0,0
"F","Very happy","Pacific","2010's",0,0
"M","Not too happy","Pacific","2010's",0,0
"M","Pretty happy","Pacific","2010's",0,0
"M","Very happy","Pacific","2010's",0,0
"F","Not too happy","South Atlantic","2010's",0,0
"F","Pretty happy","South Atlantic","2010's",0,0
"F","Very happy","South Atlantic","2010's",0,0
"M","Not too happy","South Atlantic","2010's",0,0
"M","Pretty happy","South Atlantic","2010's",0,0
"M","Very happy","South Atlantic","2010's",0,0
"F","Not too happy","West North Central","2010's",210,14.6955913226032
"F","Pretty happy","West North Central","2010's",774,54.1637508747376
"F","Very happy","West North Central","2010's",445,31.1406578026592
"M","Not too happy","West North Central","2010's",183,15.2246256239601
"M","Pretty happy","West North Central","2010's",664,55.2412645590682
"M","Very happy","West North Central","2010's",355,29.5341098169717
"F","Not too happy","West South Central","2010's",0,0
"F","Pretty happy","West South Central","2010's",0,0
"F","Very happy","West South Central","2010's",0,0
"M","Not too happy","West South Central","2010's",0,0
"M","Pretty happy","West South Central","2010's",0,0
"M","Very happy","West South Central","2010's",0,0
"F","Not too happy","East North Central","2020's",499,22.5587703435805
"F","Pretty happy","East North Central","2020's",1259,56.9168173598553
"F","Very happy","East North Central","2020's",454,20.5244122965642
"M","Not too happy","East North Central","2020's",352,21.5950920245399
"M","Pretty happy","East North Central","2020's",884,54.2331288343558
"M","Very happy","East North Central","2020's",394,24.1717791411043
"F","Not too happy","East South Central","2020's",0,0
"F","Pretty happy","East South Central","2020's",0,0
"F","Very happy","East South Central","2020's",0,0
"M","Not too happy","East South Central","2020's",0,0
"M","Pretty happy","East South Central","2020's",0,0
"M","Very happy","East South Central","2020's",0,0
"F","Not too happy","Middle Atlantic","2020's",291,22.7699530516432
"F","Pretty happy","Middle Atlantic","2020's",737,57.6682316118936
"F","Very happy","Middle Atlantic","2020's",250,19.5618153364632
"M","Not too happy","Middle Atlantic","2020's",271,23.4226447709594
"M","Pretty happy","Middle Atlantic","2020's",642,55.4883318928263
"M","Very happy","Middle Atlantic","2020's",244,21.0890233362143
"F","Not too happy","Mountain","2020's",0,0
"F","Pretty happy","Mountain","2020's",0,0
"F","Very happy","Mountain","2020's",0,0
"M","Not too happy","Mountain","2020's",0,0
"M","Pretty happy","Mountain","2020's",0,0
"M","Very happy","Mountain","2020's",0,0
"F","Not too happy","New England","2020's",195,23.3253588516746
"F","Pretty happy","New England","2020's",487,58.2535885167464
"F","Very happy","New England","2020's",154,18.4210526315789
"M","Not too happy","New England","2020's",160,23.4260614934114
"M","Pretty happy","New England","2020's",402,58.8579795021962
"M","Very happy","New England","2020's",121,17.7159590043924
"F","Not too happy","Pacific","2020's",0,0
"F","Pretty happy","Pacific","2020's",0,0
"F","Very happy","Pacific","2020's",0,0
"M","Not too happy","Pacific","2020's",0,0
"M","Pretty happy","Pacific","2020's",0,0
"M","Very happy","Pacific","2020's",0,0
"F","Not too happy","South Atlantic","2020's",0,0
"F","Pretty happy","South Atlantic","2020's",0,0
